2026-06-18 13:04:26,322 | INFO | main.py | 216 | Iniciando rotina de envio...
2026-06-18 13:04:27,091 | DEBUG | hpack.py | 53 | Encoding 19 with 6 bits
2026-06-18 13:04:27,091 | DEBUG | hpack.py | 53 | Encoding 3 with 7 bits
2026-06-18 13:04:27,091 | DEBUG | hpack.py | 288 | Adding (b'accept-encoding', b'gzip, deflate') to the header table, sensitive:False, huffman:True
2026-06-18 13:04:27,091 | DEBUG | hpack.py | 53 | Encoding 16 with 7 bits
2026-06-18 13:04:27,091 | DEBUG | hpack.py | 288 | Adding (b'user-agent', b'python-httpx/0.28.1') to the header table, sensitive:False, huffman:True
2026-06-18 13:04:27,091 | DEBUG | hpack.py | 53 | Encoding 58 with 6 bits
2026-06-18 13:04:27,091 | DEBUG | hpack.py | 53 | Encoding 14 with 7 bits
2026-06-18 13:04:27,091 | DEBUG | hpack.py | 288 | Adding (b'x-client-info', b'supabase-py/2.31.0; platform=Windows; platform-version=11; runtime=python; runtime-version=3.14.0') to the header table, sensitive:False, huffman:True
2026-06-18 13:04:27,092 | DEBUG | hpack.py | 53 | Encoding 10 with 7 bits
2026-06-18 13:04:27,092 | DEBUG | hpack.py | 53 | Encoding 70 with 7 bits
2026-06-18 13:04:27,092 | DEBUG | hpack.py | 288 | Adding (b'apikey', b'sb_publishable_rnjz7eVbjmNTrX60pfYm4g_ZQohLWpp') to the header table, sensitive:False, huffman:True
2026-06-18 13:04:27,092 | DEBUG | hpack.py | 53 | Encoding 5 with 7 bits
2026-06-18 13:04:27,092 | DEBUG | hpack.py | 53 | Encoding 36 with 7 bits
2026-06-18 13:04:27,092 | DEBUG | hpack.py | 288 | Adding (b'authorization', b'Bearer sb_publishable_rnjz7eVbjmNTrX60pfYm4g_ZQohLWpp') to the header table, sensitive:True, huffman:True
2026-06-18 13:04:27,092 | DEBUG | hpack.py | 53 | Encoding 23 with 4 bits
2026-06-18 13:04:27,092 | DEBUG | hpack.py | 53 | Encoding 41 with 7 bits
2026-06-18 13:04:27,092 | DEBUG | hpack.py | 288 | Adding (b'accept-profile', b'public') to the header table, sensitive:False, huffman:True
2026-06-18 13:04:27,092 | DEBUG | hpack.py | 53 | Encoding 10 with 7 bits
2026-06-18 13:04:27,092 | DEBUG | hpack.py | 53 | Encoding 5 with 7 bits
2026-06-18 13:04:27,092 | DEBUG | hpack.py | 288 | Adding (b'content-profile', b'public') to the header table, sensitive:False, huffman:True
2026-06-18 13:04:27,092 | DEBUG | hpack.py | 53 | Encoding 11 with 7 bits
2026-06-18 13:04:27,092 | DEBUG | hpack.py | 53 | Encoding 5 with 7 bits
2026-06-18 13:04:27,092 | DEBUG | hpack.py | 280 | Encoded header block to b"\x82A\x98)\xa6\xeb\xe6\x89{u\xea{:\xf9\xf7\xe4\xfef*\xe8\xb6\xb1\xc64\x15r\x1f\x87D\xb0b\xc2\xa1,w\x0b\x04=I\x1aN\x8f\xf1\x05\xa0\xa4L\x06\x91Q^\xa8\xf4\x95Q^Ih,\xa7\xa8\xaa\x8a\xf0\xd2n\xe7\xf8\x1aM\xdc\xf0\x17\xb2\xfb\xec\xb4\xbfS\x83\xf9c\xe7\x90z\x8e\xaf\xd2g=KN\x94\xd7\xe5\x80.'\x97\x0f@\x8a\xf2\xb1(1jJ\xc6\xaaS\xff\xc6E\xb5\x8e1\xa0\xabW\xe9\x81.\xc8W\x07\xda\x95\xd04\xca{)\x83\x91\xaa\x90\xfe\x11\xf6\xa5t\r2\x9e\xcaV\xee[\x10c\xd5\x00C\xf6\xa5\x96\xd4\x93RX+\xf4\x99\xcfW\xda\x96[RMIV\xee[\x10c\xd5\x03+\x85\xa5\xc1@\x85\x1df\xea__\xa4DqWlt\x19\x13\x8e:\x0b\x15\x95t\xf6\xe9x\xc7\xd2\x9d;\xec\xfcp\x15\xcb\xce\x96\xa6\x8b\xf7a\xe7\xcf\xca\xba\xff\x1f\x08\xa9\xbaQ\xd8[\x14DqWlt\x19\x13\x8e:\x0b\x15\x95t\xf6\xe9x\xc7\xd2\x9d;\xec\xfcp\x15\xcb\xce\x96\xa6\x8b\xf7a\xe7\xcf\xca\xba\xff@\x8a\x19\x08Z\xd2\xb5v\x1eSP_\x85\xae\xd8\xe81?@\x8b!\xeaIjJ\xd5\xd8yMA\x7f\x85\xae\xd8\xe81?"
2026-06-18 13:04:27,092 | DEBUG | _trace.py | 47 | send_request_headers.complete
2026-06-18 13:04:27,092 | DEBUG | _trace.py | 47 | send_request_body.started request=<Request [b'GET']> stream_id=1
2026-06-18 13:04:27,092 | DEBUG | _trace.py | 47 | send_request_body.complete
2026-06-18 13:04:27,092 | DEBUG | _trace.py | 47 | receive_response_headers.started request=<Request [b'GET']> stream_id=1
2026-06-18 13:04:27,140 | DEBUG | _trace.py | 47 | receive_remote_settings.started
2026-06-18 13:04:27,140 | DEBUG | _trace.py | 47 | receive_remote_settings.complete return_value=<RemoteSettingsChanged changed_settings:{ChangedSetting(setting=3, original_value=None, new_value=100), ChangedSetting(setting=4, original_value=65535, new_value=65536), ChangedSetting(setting=5, original_value=16384, new_value=16777215)}>
2026-06-18 13:04:27,651 | DEBUG | hpack.py | 474 | Decoding b'?\xe1\x1f\x88a\x96\xdf=\xbfJ\x05\xe52\xdbR\x82\x00\x9cP.\\\x03W\x04\xea\x98\xb4o_\x96\x1du\xd0b\r&=LtA\xea\xfbP\x93\x8e\xc4\x150Z\x99V{^\x84\x02\xc2c\xe7@\x85$\xabX?_\x8f\x18$\x8d\xe7F\xe4\x83\x967\xa3u\xf5\xb1d\xc5@\x8a$\xab\x10d\x9c\xab!#M\xa8\x86\xbf\xcfL:2^Z\x83\x9b\xd9\xab]\xaa`\x87\xa9#I\xd1\xfe\r&\xeex\x0b\xd9}\xf6Z_\x84\x16\x82\x910\x1aEEz\xa3\xd2UEy%\xa0\xb2\x9e\xa2\xaa+\xc3I\xbb\x9fv\x87%\x07\xb6Ih\x1d\x85x\xa0\xa4~V\x1c\xc5\x81\x90\xb6\xcb\x80\x00>\xd45D\xa2\xd9\x0b\xba\xd8\xef\x9e\x91\x9a\xa4}\xa9]\x85\xa0\xe3\x93{\x8b\x84\x84-i[\x05D<\x86\xaao@\x90\xf2\xb1\x0fRKRVO\xaa\xca\xb1\xebI\x8fR?\x85\xa8\xe8\xa8\xd2\xcb@\x8b!\xeaIjJ\xd5\xd8yMA\x7f\x85\xae\xd8\xe81?@\x8dDkL4\x97\xc0\xfd-\xdc\xb6 \xc7\xab\x011@\x8aDkWa\xfa\x14\x89Z\xc2\xcb\x90)\xa6\xeb\xe6\x89{u\xea{:\xf9\xf7\xe4\xfef/@\x8aDkX^\xd6\x95\tX\xd2\x7f\x9a\x00_,\x91\xba5\x80\xd3O\xac\xe8\x9e\n\xcf\x06GVy\xc9J\xf4bi\xc6\x9ek@\x8f\xf2\xb1j\xee\x7fK\r)-5\xa5b\x1e\xda\x93\x011@\x95\xf2\xb1j\xee\x7fK[Z\x13aGJ\xc8-\x9d\xccB\xac\x93R_\x82\x13\x81w\xffn\x8a"K\x14t\xc0\xcb\x91\xd9\xcbD\xc5\xafc\xfa\xa7\xc8\x1fl\xfb\xdd\xfb/\xbd\xb8m\x88\xb9\xc1\x0e)u\x83\xf7n\x90\x17\x058\xfc,\x17^\x0b\xaf\xbc\xe3\x8e\xae\xcb-8\x16\x9bX+\x81p\xae\x15\xaf\xb3\x7f\x11\xf4\xe77\x0f\xdd\xf8\xb6L\xf5\x93\xc3W}9\xc1\x15\xd1~M\xce\xecQ>I\xfc\xf3\xec\xc8\xafd\x9fFY\xdb\xc5\xfb\x8d\xba\xd3t\x1d\xf3\xdd\xf1\x8b\xde\xc4w/\x17\xc5d\xadr\xd3\xbf5\xa3\x1f*\x93\x1b\x9b7s\xe2\xecV\xe6\xddU"\xd3V\xf4]\x9cC.\xd2\xe5\xdf\x7f\xcf\xbc\xb7u\x08n\xe5\xd6\x94\xef5\xe1U#\xdfjcJk\xd5U\x1e\xbe\xd4\xdc:K\xb8\xc9,\x1aOQ~\xd4\xdcR[a~\xd4\xd64\xcf\x03\x1fj_=#5P"\xda\xc7\x18\xd0U\xc8\x7f\xb50y\xac\xd6\x15\x10o\x9e\xdf\xa5\x02\xf2\x99m\xa9A\x00N(\x17.2\xd5\xc1:\xa6-\x1b\xff@\x85\x1d\tY\x1d\xc9\x90\x9d\x98?\x9b\x8d4\xcf\xf3\xf6\xa5#\x81\xe7\x1a\x00?'
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 4096, consumed 3 bytes
2026-06-18 13:04:27,652 | DEBUG | table.py | 201 | Resizing header table to 4096 from 4096
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 8, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 569 | Decoded (b':status', b'200'), consumed 1
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 33, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 22, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 647 | Decoded (b'date', b'Thu, 18 Jun 2026 16:04:27 GMT'), total consumed 24 bytes, indexed True
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 31, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 22, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 647 | Decoded (b'content-type', b'application/json; charset=utf-8'), total consumed 24 bytes, indexed True
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 30, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 4, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 647 | Decoded (b'content-range', b'0-2/*'), total consumed 6 bytes, indexed True
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 5, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 15, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 647 | Decoded (b'cf-ray', b'a0db87a6dafb8b79-GIG'), total consumed 23 bytes, indexed True
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 10, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 6, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 647 | Decoded (b'cf-cache-status', b'DYNAMIC'), total consumed 19 bytes, indexed True
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 26, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 3, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 647 | Decoded (b'content-encoding', b'gzip'), total consumed 5 bytes, indexed True
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 29, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 42, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 647 | Decoded (b'content-location', b'/contatos?ativo=eq.True&select=id%2Cnome%2Ctelefone%2Cativo'), total consumed 44 bytes, indexed True
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 54, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 7, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 647 | Decoded (b'server', b'cloudflare'), total consumed 9 bytes, indexed True
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 56, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 32, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 647 | Decoded (b'strict-transport-security', b'max-age=31536000; includeSubDomains; preload'), total consumed 34 bytes, indexed True
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 59, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 11, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 647 | Decoded (b'vary', b'Accept-Encoding'), total consumed 13 bytes, indexed True
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 16, consumed 1 bytes
2026-06-18 13:04:27,652 | DEBUG | hpack.py | 113 | Decoded 5, consumed 1 bytes
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 647 | Decoded (b'x-content-type-options', b'nosniff'), total consumed 24 bytes, indexed True
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 113 | Decoded 11, consumed 1 bytes
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 113 | Decoded 5, consumed 1 bytes
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 647 | Decoded (b'content-profile', b'public'), total consumed 19 bytes, indexed True
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 113 | Decoded 13, consumed 1 bytes
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 113 | Decoded 1, consumed 1 bytes
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 647 | Decoded (b'sb-gateway-version', <memory at 0x000001CA04BBD3C0>), total consumed 17 bytes, indexed True
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 113 | Decoded 10, consumed 1 bytes
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 113 | Decoded 16, consumed 1 bytes
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 647 | Decoded (b'sb-project-ref', b'eigkxlfqkkorkxzxoxge'), total consumed 29 bytes, indexed True
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 113 | Decoded 10, consumed 1 bytes
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 113 | Decoded 26, consumed 1 bytes
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 647 | Decoded (b'sb-request-id', b'019edb7a-0449-7281-81d7-86fe8b246484'), total consumed 39 bytes, indexed True
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 113 | Decoded 15, consumed 1 bytes
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 113 | Decoded 1, consumed 1 bytes
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 647 | Decoded (b'x-envoy-attempt-count', <memory at 0x000001CA04BBD840>), total consumed 19 bytes, indexed True
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 113 | Decoded 21, consumed 1 bytes
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 113 | Decoded 2, consumed 1 bytes
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 647 | Decoded (b'x-envoy-upstream-service-time', b'261'), total consumed 26 bytes, indexed True
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 113 | Decoded 55, consumed 1 bytes
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 113 | Decoded 237, consumed 2 bytes
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 647 | Decoded (b'set-cookie', b'__cf_bm=36brWMgepQ9OhI1z3zSZfzRFu_eL0AGfP0ZRN0eEmHw-1781798667.3346145-1.0.1.1-D3DGoNLiUZTGQg8rhAnvNL0_B2XgYB__9chxYq32CIhMJh5GZH5ptB0vLBwGzQsveV92rf4WNTKuaaWntb6QSYV7_uKSnm2NnTsBh2aeReJTDxzJBO2a7JPttTiC2nd8; HttpOnly; SameSite=None; Secure; Path=/; Domain=supabase.co; Expires=Thu, 18 Jun 2026 16:34:27 GMT'), total consumed 240 bytes, indexed True
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 113 | Decoded 5, consumed 1 bytes
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 113 | Decoded 16, consumed 1 bytes
2026-06-18 13:04:27,653 | DEBUG | hpack.py | 647 | Decoded (b'alt-svc', b'h3=":443"; ma=86400'), total consumed 24 bytes, indexed True
2026-06-18 13:04:27,653 | DEBUG | _trace.py | 47 | receive_response_headers.complete return_value=(200, [(b'date', b'Thu, 18 Jun 2026 16:04:27 GMT'), (b'content-type', b'application/json; charset=utf-8'), (b'content-range', b'0-2/*'), (b'cf-ray', b'a0db87a6dafb8b79-GIG'), (b'cf-cache-status', b'DYNAMIC'), (b'content-encoding', b'gzip'), (b'content-location', b'/contatos?ativo=eq.True&select=id%2Cnome%2Ctelefone%2Cativo'), (b'server', b'cloudflare'), (b'strict-transport-security', b'max-age=31536000; includeSubDomains; preload'), (b'vary', b'Accept-Encoding'), (b'x-content-type-options', b'nosniff'), (b'content-profile', b'public'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'eigkxlfqkkorkxzxoxge'), (b'sb-request-id', b'019edb7a-0449-7281-81d7-86fe8b246484'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'261'), (b'set-cookie', b'__cf_bm=36brWMgepQ9OhI1z3zSZfzRFu_eL0AGfP0ZRN0eEmHw-1781798667.3346145-1.0.1.1-D3DGoNLiUZTGQg8rhAnvNL0_B2XgYB__9chxYq32CIhMJh5GZH5ptB0vLBwGzQsveV92rf4WNTKuaaWntb6QSYV7_uKSnm2NnTsBh2aeReJTDxzJBO2a7JPttTiC2nd8; HttpOnly; SameSite=None; Secure; Path=/; Domain=supabase.co; Expires=Thu, 18 Jun 2026 16:34:27 GMT'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-06-18 13:04:27,654 | INFO | _client.py | 1025 | HTTP Request: GET https://eigkxlfqkkorkxzxoxge.supabase.co/rest/v1/contatos?select=id%2Cnome%2Ctelefone%2Cativo&ativo=eq.True "HTTP/2 200 OK"
2026-06-18 13:04:27,654 | DEBUG | _trace.py | 47 | receive_response_body.started request=<Request [b'GET']> stream_id=1
2026-06-18 13:04:27,655 | DEBUG | _trace.py | 47 | receive_response_body.complete
2026-06-18 13:04:27,655 | DEBUG | _trace.py | 47 | response_closed.started stream_id=1
2026-06-18 13:04:27,655 | DEBUG | _trace.py | 47 | response_closed.complete
2026-06-18 13:04:27,658 | INFO | main.py | 132 | Total de contatos selecionados: 3
2026-06-18 13:04:27,658 | INFO | main.py | 144 | Verificando status da instï¿½ncia Z-API...
2026-06-18 13:04:27,661 | DEBUG | connectionpool.py | 1049 | Starting new HTTPS connection (1): api.z-api.io:443
2026-06-18 13:04:28,211 | DEBUG | connectionpool.py | 544 | https://api.z-api.io:443 "GET /instances/3F4CBF801119011B21344EE998918E2A/token/56F998A0A9693C4028BE9C2E/status HTTP/1.1" 403 41
2026-06-18 13:04:28,212 | ERROR | main.py | 163 | Falha ao consultar status da Z-API: 403 Client Error: Forbidden for url: https://api.z-api.io/instances/3F4CBF801119011B21344EE998918E2A/token/56F998A0A9693C4028BE9C2E/status
2026-06-18 13:04:28,212 | ERROR | main.py | 230 | A instï¿½ncia Z-API nï¿½o estï¿½ conectada. Conecte o WhatsApp e tente novamente.
2026-06-18 13:05:52,005 | INFO | main.py | 216 | Iniciando rotina de envio...
2026-06-18 13:05:52,326 | INFO | main.py | 94 | Buscando contatos no Supabase...
2026-06-18 13:05:52,554 | DEBUG | _trace.py | 47 | connect_tcp.started host='eigkxlfqkkorkxzxoxge.supabase.co' port=443 local_address=None timeout=120 socket_options=None
2026-06-18 13:05:52,675 | DEBUG | _trace.py | 47 | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x0000024E665C63C0>
2026-06-18 13:05:52,675 | DEBUG | _trace.py | 47 | start_tls.started ssl_context=<ssl.SSLContext object at 0x0000024E652F3C70> server_hostname='eigkxlfqkkorkxzxoxge.supabase.co' timeout=120
2026-06-18 13:05:52,728 | DEBUG | _trace.py | 47 | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x0000024E665B60D0>
2026-06-18 13:05:52,728 | DEBUG | _trace.py | 47 | send_connection_init.started request=<Request [b'GET']>
2026-06-18 13:05:52,728 | DEBUG | _trace.py | 47 | send_connection_init.complete
2026-06-18 13:05:52,729 | DEBUG | _trace.py | 47 | send_request_headers.started request=<Request [b'GET']> stream_id=1
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 288 | Adding (b':method', b'GET') to the header table, sensitive:False, huffman:True
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 2 with 7 bits
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 288 | Adding (b':authority', b'eigkxlfqkkorkxzxoxge.supabase.co') to the header table, sensitive:False, huffman:True
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 1 with 6 bits
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 24 with 7 bits
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 288 | Adding (b':scheme', b'https') to the header table, sensitive:False, huffman:True
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 7 with 7 bits
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 288 | Adding (b':path', b'/rest/v1/contatos?select=id%2Cnome%2Ctelefone%2Cativo&ativo=eq.True') to the header table, sensitive:False, huffman:True
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 4 with 6 bits
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 48 with 7 bits
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 288 | Adding (b'accept', b'*/*') to the header table, sensitive:False, huffman:True
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 19 with 6 bits
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 3 with 7 bits
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 288 | Adding (b'accept-encoding', b'gzip, deflate') to the header table, sensitive:False, huffman:True
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 16 with 7 bits
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 288 | Adding (b'user-agent', b'python-httpx/0.28.1') to the header table, sensitive:False, huffman:True
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 58 with 6 bits
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 14 with 7 bits
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 288 | Adding (b'x-client-info', b'supabase-py/2.31.0; platform=Windows; platform-version=11; runtime=python; runtime-version=3.14.0') to the header table, sensitive:False, huffman:True
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 10 with 7 bits
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 70 with 7 bits
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 288 | Adding (b'apikey', b'sb_publishable_rnjz7eVbjmNTrX60pfYm4g_ZQohLWpp') to the header table, sensitive:False, huffman:True
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 5 with 7 bits
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 36 with 7 bits
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 288 | Adding (b'authorization', b'Bearer sb_publishable_rnjz7eVbjmNTrX60pfYm4g_ZQohLWpp') to the header table, sensitive:True, huffman:True
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 23 with 4 bits
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 41 with 7 bits
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 288 | Adding (b'accept-profile', b'public') to the header table, sensitive:False, huffman:True
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 10 with 7 bits
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 5 with 7 bits
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 288 | Adding (b'content-profile', b'public') to the header table, sensitive:False, huffman:True
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 11 with 7 bits
2026-06-18 13:05:52,729 | DEBUG | hpack.py | 53 | Encoding 5 with 7 bits
